cell_type	replicate	cell	vae_2	nmf_6	cell_class
TCELLA2	3	TCELLA2_3	12.731078286964253	254.98922871326695	Naive Lymphoid
TCELLA2	5	TCELLA2_5	15.077720009987587	295.03989883412606	Naive Lymphoid
TCELLA2	6	TCELLA2_6	13.552882808501328	259.2062742792202	Naive Lymphoid
TCELLA2	7	TCELLA2_7	12.58632481347237	255.6450257665634	Naive Lymphoid
TCELLA2	8	TCELLA2_8	13.596708885095147	265.22416762055053	Naive Lymphoid
TCELLA3	11	TCELLA3_11	13.486676406009078	224.72641466086245	Differentiated T Cell
TCELLA3	3	TCELLA3_3	15.113221102123399	237.2762295370061	Differentiated T Cell
TCELLA3	5	TCELLA3_5	17.38127370134219	291.0299524022129	Differentiated T Cell
TCELLA3	6	TCELLA3_6	13.675953508080099	244.89413815401738	Differentiated T Cell
TCELLA3	7	TCELLA3_7	17.1752399012178	267.66546297678434	Differentiated T Cell
TCELLA3	8	TCELLA3_8	13.495406255899928	205.62153086438437	Differentiated T Cell
TCELLA4	10	TCELLA4_10	12.09655907677531	223.98767692216626	Differentiated T Cell
TCELLA4	11	TCELLA4_11	12.620128179426638	217.04530966717877	Differentiated T Cell
TCELLA4	3	TCELLA4_3	15.490871407009147	265.9943737469929	Differentiated T Cell
TCELLA4	5	TCELLA4_5	17.333137307144984	262.2308558343232	Differentiated T Cell
TCELLA4	6	TCELLA4_6	15.943334220029726	258.41507919061286	Differentiated T Cell
TCELLA4	7	TCELLA4_7	14.395495208899176	287.0591335710371	Differentiated T Cell
TCELLA4	8	TCELLA4_8	10.70170123229579	183.62074319717874	Differentiated T Cell
TCELLA6	10	TCELLA6_10	11.080217012536115	239.79678209682703	Naive Lymphoid
TCELLA6	11	TCELLA6_11	12.154710789448629	226.73598094102505	Naive Lymphoid
TCELLA6	3	TCELLA6_3	8.92922126698203	232.92155784168193	Naive Lymphoid
TCELLA6	5	TCELLA6_5	11.582368917081325	245.12790626034288	Naive Lymphoid
TCELLA6	6	TCELLA6_6	12.131851279325549	240.21980429433918	Naive Lymphoid
TCELLA6	7	TCELLA6_7	13.719940208999882	259.30215789198206	Naive Lymphoid
TCELLA6	8	TCELLA6_8	13.047351727596528	249.41001893674792	Naive Lymphoid
TCELLA7	10	TCELLA7_10	12.8381915710556	237.6293159077329	Differentiated T Cell
