variable	pval	odds	full_feature	tailed
NKT_NOVERSHTERN_2	0.004849834342832125	445.0833333333333	vae_2_three	pos
Erythrocytes_HPCA_3	0.004849834342832125	445.0833333333333	vae_2_three	pos
Class-switched-memory-B-cells_BLUEPRINT_1	0.004849834342832125	445.0833333333333	vae_2_three	pos
Mesangial-cells_ENCODE_2	0.004849834342832125	445.0833333333333	vae_2_three	pos
Neutrophils_HPCA_3	0.004849834342832125	445.0833333333333	vae_2_three	pos
Adipocytes_ENCODE_1	0.004849834342832125	445.0833333333333	vae_2_three	pos
Monocytes_BLUEPRINT_3	0.004849834342832125	445.0833333333333	vae_2_three	pos
Keratinocytes_ENCODE_1	0.005078472568892953	4.423614240648941	vae_1_two	neg
cDC_NOVERSHTERN_1	0.0052224102192414325	410.7692307692308	vae_2_three	pos
Smooth-muscle_ENCODE_1	0.0052224102192414325	410.7692307692308	vae_2_three	pos
Preadipocytes_ENCODE_2	0.0052224102192414325	410.7692307692308	vae_2_three	pos
pro-B-cells_NOVERSHTERN_2	0.0052224102192414325	410.7692307692308	vae_2_three	pos
ly-Endothelial-cells_FANTOM_3	0.0052224102192414325	410.7692307692308	vae_2_three	pos
Monocytes_NOVERSHTERN_3	0.0052224102192414325	410.7692307692308	vae_2_three	pos
Pericytes_FANTOM_2	0.0052224102192414325	410.7692307692308	vae_2_three	pos
CD4+-memory-T-cells_IRIS_1	0.0052224102192414325	410.7692307692308	vae_2_three	pos
pDC_NOVERSHTERN_3	0.0052224102192414325	410.7692307692308	vae_2_three	pos
Eosinophils_NOVERSHTERN_2	0.0052224102192414325	410.7692307692308	vae_2_three	pos
CD4+-T-cells_FANTOM_2	0.0052224102192414325	410.7692307692308	vae_2_three	pos
NK-cells_BLUEPRINT_1	0.0052224102192414325	410.7692307692308	vae_2_three	pos
NK-cells_IRIS_1	0.0052224102192414325	410.7692307692308	vae_2_three	pos
Memory-B-cells_HPCA_3	0.0052224102192414325	410.7692307692308	vae_2_three	pos
Adipocytes_ENCODE_3	0.0052224102192414325	410.7692307692308	vae_2_three	pos
CMP_NOVERSHTERN_2	0.005594916337781672	381.35714285714283	vae_2_three	pos
Adipocytes_HPCA_1	0.005594916337781672	381.35714285714283	vae_2_three	pos
Pericytes_FANTOM_1	0.005594916337781672	381.35714285714283	vae_2_three	pos
Class-switched-memory-B-cells_NOVERSHTERN_2	0.005594916337781672	381.35714285714283	vae_2_three	pos
MEP_BLUEPRINT_1	0.005594916337781672	381.35714285714283	vae_2_three	pos
GMP_HPCA_2	0.005594916337781672	381.35714285714283	vae_2_three	pos
